YR_BUILT,PTYPE,VALUE
2013,CONDO,543
2012,CONDO,173
2011,CONDO,209
2010,CONDO,256
2009,CONDO,417
2008,CONDO,358
2007,CONDO,326
2006,CONDO,1989
2005,CONDO,304
2013,APT,4
2012,APT,5
2011,APT,6
2010,APT,13
2009,APT,2
2008,APT,4
2007,APT,1
2006,APT,16
2005,APT,1
2013,SINGLE FAMILY,37
2012,SINGLE FAMILY,48
2011,SINGLE FAMILY,88
2010,SINGLE FAMILY,46
2009,SINGLE FAMILY,50
2008,SINGLE FAMILY,51
2007,SINGLE FAMILY,74
2006,SINGLE FAMILY,86
2005,SINGLE FAMILY,128
2013,STORAGE,0
2012,STORAGE,3
2011,STORAGE,2
2010,STORAGE,0
2009,STORAGE,0
2008,STORAGE,0
2007,STORAGE,0
2006,STORAGE,0
2005,STORAGE,0
2013,OFFICE,0
2012,OFFICE,0
2011,OFFICE,1
2010,OFFICE,0
2009,OFFICE,0
2008,OFFICE,0
2007,OFFICE,2
2006,OFFICE,0
2005,OFFICE,0
2013,RETAIL,0
2012,RETAIL,2
2011,RETAIL,3
2010,RETAIL,1
2009,RETAIL,1
2008,RETAIL,1
2007,RETAIL,2
2006,RETAIL,2
2005,RETAIL,1
